获取时间,天气状况,数据更新时间,气温,体感温度,湿度,风速(m/s),风向,风向角,风力等级,气压(hPa),能见度(km),AQI,PM2.5,PM10,NO2,O3,CO
2026-04-26T17:35:15.226970,阴,17:33,15,11,28,4.44,西风,280,3,1012,22,34,7,17,8,106,0.7
2026-04-26T18:05:16.156902,阴,18:04,15,11,28,4.44,西风,277,3,1012,22,34,8,13,8,106,0.6
2026-04-26T18:35:17.084264,阴,18:34,14,11,28,3.06,西北风,298,2,1013,22,34,8,13,8,106,0.6
2026-04-26T19:05:18.050091,阴,19:04,13,10,21,4.44,西北风,295,3,1013,20,34,9,12,8,107,0.4
2026-04-26T19:35:18.908822,多云,19:34,12,11,24,1.94,西北风,303,2,1013,19,34,9,12,8,107,0.4
2026-04-26T20:05:19.840068,多云,20:04,11,8,25,4.44,西北风,335,3,1013,19,32,12,27,12,101,0.6
2026-04-26T20:35:20.646566,多云,20:34,11,9,28,4.44,东南风,135,3,1014,15,32,12,27,12,101,0.6
2026-04-26T21:05:21.611263,晴,21:04,10,8,27,4.44,北风,14,3,1014,16,28,14,23,18,87,0.6
2026-04-26T21:35:22.592086,多云,21:34,10,7,29,1.11,东南风,135,1,1015,17,28,14,23,18,87,0.6
2026-04-26T22:05:23.420317,阴,22:04,9,7,31,0.28,东南风,135,1,1015,18,30,20,30,24,74,0.6
2026-04-26T22:35:24.250230,多云,22:34,9,6,31,0.56,东南风,135,1,1015,18,30,20,30,24,74,0.6
2026-04-26T23:05:25.181740,多云,23:03,6,4,31,0.28,东北风,34,1,1015,13,35,19,35,25,70,0.6
2026-04-26T23:35:26.108713,多云,23:34,5,3,37,0.28,东北风,33,1,1015,15,35,19,35,25,70,0.6
2026-04-27T00:05:26.935373,多云,0:04,4,2,47,0.28,东北风,41,1,1015,16,32,14,32,21,70,0.5
2026-04-27T00:35:27.748578,多云,0:34,4,1,50,0.28,东风,99,1,1015,15,32,14,32,21,70,0.5
2026-04-27T01:05:28.817767,阴,1:04,3,1,56,0.28,东风,107,1,1015,15,36,25,34,24,57,0.6
2026-04-27T01:35:29.707645,多云,1:34,3,1,62,0.28,东北风,59,1,1015,14,36,25,34,24,57,0.6
2026-04-27T02:05:30.603914,晴,2:04,3,1,63,0.28,东北风,53,1,1015,15,38,22,38,22,55,0.6
2026-04-27T02:35:32.011711,晴,2:33,3,1,65,0.28,东北风,22,1,1015,15,38,22,38,22,55,0.6
2026-04-27T03:05:32.865815,晴,3:04,2,0,63,0.28,东北风,23,1,1015,14,36,25,36,30,38,0.7
2026-04-27T03:35:33.742579,晴,3:33,3,0,68,0.28,东北风,43,1,1016,13,36,25,36,30,38,0.7
2026-04-27T04:05:34.799668,阴,4:04,2,0,62,0.28,东北风,38,1,1016,13,43,28,43,46,19,0.8
2026-04-27T04:35:35.741037,阴,4:33,2,-1,64,0.28,东北风,43,1,1015,13,43,28,43,46,19,0.8
2026-04-27T05:05:36.666347,多云,5:03,2,-1,60,0.28,东北风,49,1,1015,13,43,21,43,61,1,0.6
2026-04-27T05:35:37.584146,阴,5:34,4,1,52,0.28,东南风,135,1,1015,13,43,21,43,61,1,0.6
2026-04-27T06:05:38.475202,阴,6:04,5,2,47,0.28,东南风,135,1,1015,11,53,28,53,66,1,0.8
2026-04-27T06:35:39.339309,阴,6:34,7,6,44,0.28,东北风,61,1,1016,14,53,28,53,66,1,0.8
2026-04-27T07:05:40.308800,阴,7:04,10,7,42,0.83,东南风,135,1,1016,17,46,31,46,64,3,0.8
2026-04-27T07:35:41.134298,阴,7:33,11,9,35,4.44,东南风,135,3,1016,20,46,31,46,64,3,0.8
2026-04-27T08:05:41.920959,多云,8:04,11,10,37,4.44,东风,100,3,1016,21,58,28,61,56,12,0.8
2026-04-27T08:35:42.806833,阴,8:33,12,9,36,4.44,东风,104,3,1016,21,58,28,61,56,12,0.8
2026-04-27T09:05:43.735763,阴,9:03,12,9,35,4.44,东南风,135,3,1016,20,54,22,55,56,16,0.8
2026-04-27T09:35:44.622356,阴,9:34,12,10,33,4.44,东风,86,3,1016,23,54,22,55,56,16,0.8
2026-04-27T10:05:45.602788,多云,10:04,13,11,32,4.44,东风,90,3,1016,24,44,14,44,33,47,0.6
2026-04-27T10:35:46.760500,阴,10:34,13,10,34,1.67,东北风,30,2,1016,24,44,14,44,33,47,0.6
2026-04-27T11:05:47.554017,阴,11:03,13,10,33,1.67,东北风,36,2,1016,23,30,8,30,13,74,0.5
2026-04-27T11:35:49.074011,阴,11:34,13,8,31,6.11,东风,90,4,1016,23,30,8,30,13,74,0.5
2026-04-27T12:05:50.027475,阴,12:04,13,10,31,6.94,北风,344,4,1016,22,25,8,19,12,78,0.5
2026-04-27T12:35:50.936038,阴,12:34,14,10,32,6.94,北风,5,4,1015,24,25,8,19,12,78,0.5
2026-04-27T13:05:51.897736,多云,13:04,14,9,31,8.33,北风,339,5,1015,25,27,7,22,9,84,0.5
2026-04-27T13:35:52.783547,阴,13:33,14,9,30,5.56,北风,351,4,1014,23,27,7,22,9,84,0.5
2026-04-27T14:05:53.599756,阴,14:00,14,11,28,6.94,北风,8,4,1014,24,28,8,16,9,87,0.5
2026-04-27T14:35:54.397879,阴,14:33,14,9,28,7.5,东北风,36,4,1014,20,28,8,16,9,87,0.5
2026-04-27T15:05:55.232287,阴,15:03,14,10,27,7.5,北风,2,4,1014,20,28,8,20,10,87,0.5
2026-04-27T15:35:55.992301,阴,15:34,14,9,26,6.11,北风,356,4,1013,23,28,8,20,10,87,0.5
2026-04-27T16:02:29.749386,阴,15:53,14,11,26,7.78,北风,344,4,1013,24,29,7,21,10,91,0.5
2026-04-27T16:32:30.632982,阴,16:23,14.0,9.0,25.0,5.0,东风,84.0,3,1014.0,20.0,29,7.0,21.0,10.0,91.0,0.5
2026-04-27T17:02:31.442355,阴,16:54,14.0,10.0,25.0,7.22,西北风,315.0,4,1013.0,24.0,29,6.0,18.0,10.0,92.0,0.5
2026-04-27T17:32:32.291994,阴,17:24,13.0,8.0,25.0,5.0,东北风,45.0,3,1014.0,20.0,29,6.0,18.0,10.0,92.0,0.5
2026-04-27T18:02:33.132821,阴,17:53,13.0,8.0,25.0,6.94,北风,343.0,4,1013.0,24.0,29,6.0,22.0,9.0,92.0,0.5
2026-04-27T18:32:33.936346,阴,18:24,13.0,9.0,25.0,3.89,东风,82.0,3,1014.0,24.0,29,6.0,22.0,9.0,92.0,0.5
2026-04-27T19:02:34.800824,阴,18:53,12.0,8.0,27.0,7.78,东风,104.0,4,1013.0,21.0,29,7.0,20.0,9.0,90.0,0.3
2026-04-27T19:32:35.773679,阴,19:23,12.0,8.0,28.0,3.89,东风,93.0,3,1014.0,24.0,29,7.0,20.0,9.0,90.0,0.3
2026-04-27T20:02:36.569179,阴,20:00,11.0,7.0,31.0,6.94,东北风,45.0,4,1013.0,21.0,28,8.0,22.0,11.0,87.0,0.3
2026-04-27T20:32:37.354408,阴,20:24,11.0,8.0,32.0,6.67,东风,86.0,4,1014.0,20.0,28,8.0,22.0,11.0,87.0,0.3
2026-04-27T21:02:38.102089,阴,20:53,10.0,6.0,33.0,6.67,东风,87.0,4,1014.0,20.0,25,12.0,24.0,19.0,78.0,0.5
2026-04-27T21:32:38.944325,阴,21:24,10.0,6.0,34.0,6.67,东风,82.0,4,1014.0,20.0,25,12.0,24.0,19.0,78.0,0.5
2026-04-27T22:02:39.679310,阴,21:54,9.0,6.0,35.0,3.61,东风,112.0,3,1014.0,20.0,31,16.0,31.0,22.0,72.0,0.5
2026-04-27T22:32:40.448949,阴,22:23,9.0,6.0,37.0,5.0,东北风,45.0,3,1014.0,19.0,31,16.0,31.0,22.0,72.0,0.5
2026-04-27T23:02:41.166558,阴,22:54,9.0,5.0,38.0,5.0,东北风,45.0,3,1014.0,20.0,38,15.0,38.0,21.0,65.0,0.5
2026-04-27T23:32:42.054387,阴,23:24,9.0,5.0,40.0,4.17,东北风,45.0,3,1014.0,19.0,38,15.0,38.0,21.0,65.0,0.5
2026-04-28T00:02:42.929131,阴,23:54,8.0,5.0,43.0,4.72,东风,105.0,3,1014.0,19.0,37,15.0,37.0,20.0,60.0,0.5
2026-04-28T00:32:43.746486,阴,00:23,8.0,4.0,42.0,3.06,东北风,45.0,2,1014.0,17.0,37,15.0,37.0,20.0,60.0,0.5
2026-04-28T01:02:44.567429,阴,00:54,7.0,4.0,44.0,3.06,东北风,45.0,2,1014.0,17.0,26,16.0,26.0,17.0,60.0,0.3
2026-04-28T01:32:45.375992,阴,01:23,8.0,5.0,45.0,2.78,东北风,45.0,2,1014.0,17.0,26,16.0,26.0,17.0,60.0,0.3
2026-04-28T02:02:46.188934,阴,02:00,7.0,4.0,45.0,1.94,东北风,45.0,2,1014.0,17.0,39,16.0,39.0,28.0,49.0,0.5
2026-04-28T02:32:47.065739,阴,02:23,7.0,4.0,45.0,1.94,东北风,45.0,2,1014.0,17.0,39,16.0,39.0,28.0,49.0,0.5
2026-04-28T03:02:47.934574,阴,02:54,6.0,3.0,49.0,2.5,北风,342.0,2,1014.0,17.0,27,16.0,27.0,30.0,43.0,0.5
2026-04-28T03:32:48.773696,阴,03:24,6.0,2.0,50.0,2.5,北风,18.0,2,1014.0,17.0,27,16.0,27.0,30.0,43.0,0.5
2026-04-28T04:02:49.543012,阴,03:54,5.0,2.0,52.0,2.78,北风,20.0,2,1014.0,17.0,28,16.0,28.0,24.0,50.0,0.5
2026-04-28T04:32:50.301273,阴,04:24,5.0,2.0,55.0,2.5,北风,19.0,2,1014.0,17.0,28,16.0,28.0,24.0,50.0,0.5
2026-04-28T05:02:51.140142,阴,04:53,5.0,2.0,55.0,2.5,北风,6.0,2,1014.0,17.0,25,16.0,25.0,23.0,49.0,0.5
2026-04-28T05:32:51.998078,阴,05:23,5.0,1.0,57.0,3.61,北风,12.0,3,1016.0,16.0,25,16.0,25.0,23.0,49.0,0.5
2026-04-28T06:02:52.847487,阴,05:54,5.0,1.0,57.0,1.94,北风,340.0,2,1016.0,15.0,33,23.0,29.0,32.0,37.0,0.6
2026-04-28T06:32:53.605218,阴,06:24,5.0,1.0,57.0,1.94,北风,8.0,2,1016.0,16.0,33,23.0,29.0,32.0,37.0,0.6
2026-04-28T07:02:54.386228,多云,06:53,7.0,4.0,51.0,2.78,东风,104.0,2,1016.0,16.0,30,21.0,30.0,22.0,36.0,0.6
2026-04-28T07:32:55.199187,晴,07:23,7.0,3.0,50.0,1.94,北风,354.0,2,1016.0,14.0,30,21.0,30.0,22.0,36.0,0.6
2026-04-28T08:02:55.972295,晴,08:00,7.0,6.0,41.0,3.89,北风,349.0,3,1016.0,16.0,39,27.0,29.0,29.0,43.0,0.6
2026-04-28T08:32:56.853250,晴,08:24,9.0,5.0,44.0,3.89,北风,22.0,3,1016.0,16.0,39,27.0,29.0,29.0,43.0,0.6
2026-04-28T09:02:57.597484,晴,08:53,10.0,6.0,41.0,4.17,北风,339.0,3,1016.0,18.0,40,28.0,29.0,31.0,46.0,0.6
2026-04-28T09:32:58.466141,晴,09:24,11.0,6.0,37.0,6.67,北风,348.0,4,1016.0,24.0,40,28.0,29.0,31.0,46.0,0.6
2026-04-28T10:02:59.291401,晴,09:54,12.0,10.0,35.0,6.67,北风,351.0,4,1016.0,25.0,38,26.0,36.0,29.0,53.0,0.7
2026-04-28T10:33:00.124900,晴,10:24,12.0,9.0,30.0,7.5,西北风,315.0,4,1016.0,24.0,38,26.0,36.0,29.0,53.0,0.7
2026-04-28T11:03:01.031784,晴,10:54,13.0,9.0,27.0,7.5,西北风,315.0,4,1016.0,24.0,36,20.0,36.0,20.0,70.0,0.6
2026-04-28T11:33:01.913354,晴,11:24,13.0,11.0,28.0,5.56,北风,20.0,4,1016.0,25.0,36,20.0,36.0,20.0,70.0,0.6
2026-04-28T12:03:02.719950,多云,11:54,13.0,11.0,25.0,6.94,西北风,315.0,4,1016.0,26.0,29,11.0,27.0,12.0,91.0,0.5
2026-04-28T12:33:03.545576,多云,12:24,14.0,10.0,24.0,6.94,西北风,315.0,4,1016.0,25.0,29,11.0,27.0,12.0,91.0,0.5
2026-04-28T13:03:04.450350,多云,12:54,14.0,10.0,24.0,6.11,北风,348.0,4,1016.0,26.0,30,8.0,14.0,7.0,94.0,0.5
2026-04-28T13:33:05.470895,多云,13:23,14.0,11.0,24.0,5.56,西北风,316.0,4,1016.0,27.0,30,8.0,14.0,7.0,94.0,0.5
2026-04-28T14:03:06.392006,多云,14:00,14.0,11.0,22.0,6.67,北风,11.0,4,1016.0,26.0,32,7.0,32.0,9.0,94.0,0.2
2026-04-28T14:33:07.334187,多云,14:24,15.0,11.0,21.0,6.67,北风,1.0,4,1014.0,26.0,32,7.0,32.0,9.0,94.0,0.2
2026-04-28T15:03:08.130299,多云,14:54,14.0,12.0,22.0,6.67,北风,19.0,4,1014.0,25.0,30,6.0,19.0,8.0,96.0,0.2
2026-04-28T15:33:09.072680,多云,15:24,15.0,12.0,22.0,6.67,北风,356.0,4,1014.0,26.0,30,6.0,19.0,8.0,96.0,0.2
2026-04-28T16:03:09.980146,多云,15:53,15.0,12.0,21.0,6.39,北风,346.0,4,1014.0,25.0,31,6.0,11.0,8.0,99.0,0.2
2026-04-28T16:33:10.880774,晴,16:24,14.0,11.0,22.0,5.0,西北风,304.0,3,1015.0,25.0,31,6.0,11.0,8.0,99.0,0.2
2026-04-28T17:03:11.835793,多云,16:54,15.0,11.0,21.0,5.56,西北风,315.0,4,1014.0,25.0,32,6.0,20.0,8.0,101.0,0.2
2026-04-28T17:33:12.660361,晴,17:24,15.0,12.0,22.0,3.61,西北风,315.0,3,1014.0,25.0,32,6.0,20.0,8.0,101.0,0.2
2026-04-28T18:03:13.490436,多云,17:53,15.0,10.0,21.0,7.5,西风,270.0,4,1014.0,25.0,32,8.0,13.0,10.0,101.0,0.2
2026-04-28T18:33:14.355416,多云,18:23,15.0,12.0,21.0,4.44,西北风,293.0,3,1014.0,24.0,32,8.0,13.0,10.0,101.0,0.2
2026-04-28T19:03:15.088088,晴,18:53,14.0,12.0,24.0,1.94,西风,270.0,2,1013.0,24.0,32,9.0,21.0,11.0,100.0,0.2
2026-04-28T19:33:15.814207,晴,19:24,14.0,10.0,25.0,1.94,西风,270.0,2,1014.0,18.0,32,9.0,21.0,11.0,100.0,0.2
2026-04-28T20:03:16.633718,多云,20:00,12.0,10.0,28.0,1.94,西风,270.0,2,1014.0,18.0,31,9.0,19.0,10.0,99.0,0.2
2026-04-28T20:33:17.532789,多云,20:24,10.0,8.0,31.0,1.39,西南风,232.0,1,1015.0,15.0,31,9.0,19.0,10.0,99.0,0.2
2026-04-28T21:03:18.805262,晴,20:54,11.0,9.0,28.0,2.22,西南风,225.0,2,1015.0,16.0,32,17.0,32.0,17.0,87.0,0.2
2026-04-28T21:33:19.719366,晴,21:23,11.0,8.0,29.0,2.22,西南风,225.0,2,1016.0,16.0,32,17.0,32.0,17.0,87.0,0.2
2026-04-28T22:03:20.605498,晴,21:53,11.0,8.0,29.0,2.78,西南风,225.0,2,1016.0,16.0,46,20.0,46.0,23.0,67.0,0.3
2026-04-28T22:33:21.419406,晴,22:24,11.0,8.0,29.0,2.78,西南风,225.0,2,1016.0,16.0,46,20.0,46.0,23.0,67.0,0.3
2026-04-28T23:03:22.242362,晴,22:54,11.0,8.0,30.0,3.06,南风,180.0,2,1016.0,17.0,55,24.0,56.0,30.0,58.0,0.4
2026-04-28T23:33:23.052578,晴,23:24,11.0,7.0,31.0,3.06,南风,180.0,2,1016.0,18.0,55,24.0,56.0,30.0,58.0,0.4
2026-04-29T00:03:23.789419,晴,23:53,10.0,7.0,34.0,3.89,南风,180.0,3,1016.0,19.0,36,17.0,36.0,26.0,63.0,0.3
2026-04-29T00:33:24.697430,晴,00:24,10.0,7.0,36.0,4.17,西南风,229.0,3,1016.0,20.0,36,17.0,36.0,26.0,63.0,0.3
2026-04-29T01:03:25.581143,晴,00:54,10.0,6.0,31.0,4.44,西南风,208.0,3,1016.0,21.0,28,14.0,28.0,20.0,69.0,0.2
2026-04-29T01:33:26.318835,晴,01:24,10.0,6.0,31.0,4.44,西南风,225.0,3,1015.0,21.0,28,14.0,28.0,20.0,69.0,0.2
2026-04-29T02:03:27.189006,晴,02:00,10.0,6.0,31.0,5.56,西南风,225.0,4,1015.0,20.0,27,11.0,27.0,19.0,70.0,0.2
2026-04-29T02:33:28.019701,晴,02:24,10.0,5.0,31.0,7.5,西南风,225.0,4,1015.0,22.0,27,11.0,27.0,19.0,70.0,0.2
2026-04-29T03:03:28.938811,晴,02:53,10.0,6.0,31.0,7.5,西南风,225.0,4,1015.0,20.0,30,11.0,30.0,17.0,73.0,0.2
2026-04-29T03:33:29.824534,晴,03:23,10.0,6.0,31.0,8.89,西南风,225.0,5,1014.0,21.0,30,11.0,30.0,17.0,73.0,0.2
2026-04-29T04:03:30.624528,晴,03:54,10.0,5.0,33.0,9.17,西南风,225.0,5,1014.0,20.0,25,10.0,23.0,13.0,80.0,0.2
2026-04-29T04:33:31.491956,晴,04:24,10.0,6.0,32.0,10.0,西南风,225.0,5,1014.0,18.0,25,10.0,23.0,13.0,80.0,0.2
2026-04-29T05:03:32.271248,晴,04:54,10.0,6.0,32.0,11.11,西南风,225.0,6,1014.0,19.0,27,8.0,19.0,10.0,85.0,0.2
2026-04-29T05:33:33.219625,晴,05:24,10.0,5.0,32.0,11.11,西南风,225.0,6,1014.0,19.0,27,8.0,19.0,10.0,85.0,0.2
2026-04-29T06:03:33.954560,晴,05:53,10.0,6.0,33.0,5.0,西南风,225.0,3,1014.0,19.0,26,10.0,26.0,11.0,82.0,0.2
2026-04-29T06:33:34.689203,晴,06:24,14.0,11.0,44.0,4.44,西风,270.0,3,1015.0,16.0,26,10.0,26.0,11.0,82.0,0.2
2026-04-29T07:03:35.456362,晴,06:54,10.0,7.0,38.0,4.44,西风,270.0,3,1015.0,16.0,30,14.0,30.0,17.0,72.0,0.2
2026-04-29T07:33:36.245519,晴,07:24,10.0,5.0,39.0,4.44,西风,270.0,3,1015.0,16.0,30,14.0,30.0,17.0,72.0,0.2
2026-04-29T08:03:37.098050,晴,08:00,11.0,6.0,34.0,6.11,西南风,225.0,4,1015.0,17.0,34,17.0,34.0,22.0,61.0,0.3
2026-04-29T08:33:37.897362,晴,08:24,11.0,6.0,35.0,5.0,西南风,225.0,3,1015.0,17.0,34,17.0,34.0,22.0,61.0,0.3
2026-04-29T09:03:38.698292,晴,08:53,13.0,11.0,30.0,6.94,西南风,225.0,4,1015.0,18.0,29,20.0,21.0,25.0,55.0,0.4
2026-04-29T09:33:39.523724,晴,09:24,13.0,8.0,32.0,5.0,西南风,225.0,3,1015.0,18.0,29,20.0,21.0,25.0,55.0,0.4
2026-04-29T10:03:40.560450,晴,09:54,15.0,14.0,27.0,6.67,西南风,225.0,4,1015.0,18.0,36,21.0,36.0,22.0,58.0,0.5
2026-04-29T10:33:41.412983,晴,10:24,15.0,11.0,26.0,5.83,西南风,225.0,4,1015.0,19.0,36,21.0,36.0,22.0,58.0,0.5
2026-04-29T11:03:42.323667,晴,10:54,17.0,12.0,22.0,6.39,西南风,225.0,4,1015.0,20.0,36,20.0,36.0,18.0,64.0,0.4
2026-04-29T11:33:43.238594,晴,11:23,17.0,12.0,20.0,7.22,西南风,225.0,4,1015.0,22.0,36,20.0,36.0,18.0,64.0,0.4
2026-04-29T12:03:44.175465,晴,11:53,19.0,15.0,18.0,8.89,西南风,225.0,5,1015.0,24.0,33,19.0,33.0,16.0,74.0,0.3
2026-04-29T12:33:45.062451,晴,12:24,19.0,14.0,19.0,8.33,西风,270.0,5,1015.0,25.0,33,19.0,33.0,16.0,74.0,0.3
2026-04-29T13:03:45.880573,晴,12:53,20.0,16.0,17.0,8.89,西风,284.0,5,1014.0,25.0,29,15.0,29.0,12.0,86.0,0.3
2026-04-29T13:33:46.710852,晴,13:24,21.0,18.0,18.0,9.17,西风,270.0,5,1014.0,26.0,29,15.0,29.0,12.0,86.0,0.3
2026-04-29T14:03:47.639709,晴,14:00,22.0,17.0,17.0,9.17,西风,270.0,5,1012.0,26.0,30,13.0,28.0,9.0,93.0,0.3
2026-04-29T14:33:48.610676,晴,14:23,22.0,17.0,17.0,8.61,西风,270.0,5,1012.0,26.0,30,13.0,28.0,9.0,93.0,0.3
2026-04-29T15:03:49.487985,晴,14:54,22.0,18.0,16.0,8.89,西风,270.0,5,1012.0,26.0,31,9.0,27.0,7.0,97.0,0.3
2026-04-29T15:33:50.334073,晴,15:24,22.0,18.0,16.0,7.22,西风,270.0,4,1011.0,27.0,31,9.0,27.0,7.0,97.0,0.3
2026-04-29T16:03:51.437909,晴,15:54,22.0,19.0,16.0,8.33,西风,270.0,5,1011.0,26.0,32,9.0,23.0,8.0,101.0,0.3
2026-04-29T16:33:52.561195,晴,16:23,22.0,17.0,16.0,7.22,西风,270.0,4,1014.0,23.0,32,9.0,23.0,8.0,101.0,0.3
2026-04-29T17:03:53.681899,晴,16:54,22.0,19.0,16.0,6.67,西南风,225.0,4,1011.0,24.0,34,8.0,29.0,8.0,106.0,0.2
2026-04-29T18:03:55.754924,晴,17:54,22.0,19.0,16.0,7.78,西南风,225.0,4,1011.0,23.0,35,8.0,18.0,6.0,110.0,0.2
2026-04-29T18:33:56.856347,晴,18:24,22.0,17.0,16.0,6.94,西风,270.0,4,1014.0,24.0,35,8.0,18.0,6.0,110.0,0.2
2026-04-29T19:03:58.019930,晴,18:53,21.0,18.0,19.0,7.5,西风,270.0,4,1012.0,23.0,35,8.0,26.0,8.0,109.0,0.2
2026-04-29T19:33:59.028491,晴,19:23,21.0,17.0,18.0,4.72,西风,270.0,3,1014.0,19.0,35,8.0,26.0,8.0,109.0,0.2
2026-04-29T20:04:00.011806,晴,20:01,19.0,16.0,22.0,4.72,西南风,220.0,3,1013.0,19.0,33,15.0,28.0,11.0,104.0,0.3
2026-04-29T20:34:01.224273,晴,20:33,18.0,15.0,22.0,3.89,西南风,225.0,3,1013.0,18.0,33,15.0,28.0,11.0,104.0,0.3
